id,home_team_country,away_team_country,winner,week
1,QAT,ECU,ECU,1
2,ENG,IRN,ENG,1
3,SEN,NED,NED,1
4,USA,WAL,Draw,1
5,ARG,KSA,KSA,1
6,DEN,TUN,Draw,1
7,MEX,POL,Draw,1
8,FRA,AUS,FRA,1
9,MAR,CRO,Draw,1
10,GER,JPN,JAP,1
11,ESP,CRC,ESP,1
12,BEL,CAN,BEL,1
13,SUI,CMR,SUI,1
14,URU,KOR,Draw,1
15,POR,GHA,POR,1
16,BRA,SRB,BRA,1
17,WAL,IRN,IRN,2
18,QAT,SEN,SEN,2
19,NED,ECU,Draw,2
20,ENG,USA,Draw,2
21,TUN,AUS,AUS,2
22,POL,KSA,POL,2
23,FRA,DEN,FRA,2
24,ARG,MEX,ARG,2
25,JPN,CRC,CRC,2
26,BEL,MAR,MAR,2
27,CRO,CAN,CRO,2
28,ESP,GER,Draw,2
29,CMR,SRB,Draw,2
30,KOR,GHA,GHA,2
31,BRA,SUI,BRA,2
32,POR,URU,POR,2
33,ECU,SEN,SEN,3
34,NED,QAT,NED,3
35,WAL,ENG,ENG,3
36,IRN,USA,USA,3
37,AUS,DEN,AUS,3
38,TUN,FRA,TUN,3
39,POL,ARG,ARG,3
40,KSA,MEX,MEX,3
41,CRO,BEL,Draw,3
42,CAN,MAR,MAR,3
43,JPN,ESP,JAP,3
44,CRC,GER,GER,3
45,GHA,URU,URU,3
46,KOR,POR,KOR,3
47,CMR,BRA,CMR,3
48,SRB,SUI,SUI,3
49,NED,USA,NED,4
50,ARG,AUS,ARG,4
51,FRA,POL,FRA,4
52,ENG,SEN,ENG,4
53,JPN,CRO,CRO,4
54,BRA,KOR,BRA,4
55,MAR,ESP,MAR,4
56,POR,SUI,POR,4
57,CRO,BRA,CRO,5
58,NED,ARG,ARG,5
59,POR,MAR,MAR,5
60,ENG,FRA,FRA,5
61,ARG,CRO,,6
62,FRA,MAR,,6
